Dec 09 2007	13:39:22	130.209.6.40	[info]		resource=quartz	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=130.209.6.40	source_host=wwwcache.gla.ac.uk
Sep 26 2008	11:46:06	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:47:11	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:48:20	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:49:32	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:49:34	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:49:40	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:50:50	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:50:52	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:50:52	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:50:52	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:51:41	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:52:59	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:53:04	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:53:04	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:53:05	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:58:18	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:59:06	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	11:59:18	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	12:00:58	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	12:02:35	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
Sep 26 2008	12:14:49	157.140.33.144	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.33.144	source_host=ent-3yl1f2j.nhm.ac.uk
Sep 26 2008	12:20:57	157.140.4.52	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=157.140.4.52	source_host=monkey.nhm.ac.uk
